solver_id,phase,n,alpha,alpha_r,alpha_ci_lo,alpha_ci_hi,beta
2015SANC18,late,1035,0.48786406731590215,0.9977844791354945,0.4335690207722465,0.6375176321913684,-0.08488145565042886
2016KELL12,full,2774,0.5746445224868434,0.9895924686529803,0.5140415810308505,0.6293243809330273,0.02367766330121966
2016KELL12,early,1387,0.5251960175285512,0.975856453556722,0.42309996368897757,0.6342820051396814,-0.03029918306263336
2016KELL12,late,1387,0.5227544472041041,0.9965166043034803,0.42726312178345777,0.5821399972686456,0.013641911395803329
2017GARR05,full,3933,0.5615364963053457,0.9935594101840856,0.4993107137662573,0.6167892093826521,0.0066175734771766765
2017GARR05,early,1966,0.5282852820491217,0.9976056701377276,0.4680458619359663,0.640380966645719,0.03316428832447719
2017GARR05,late,1967,0.5011751949727763,0.9978809997626099,0.43372805196404307,0.5670322226742321,-0.009258886923496
2020DWOR01,full,2055,0.5595613835034384,0.9948806740860802,0.469423484571313,0.6616430132691395,0.03085986572783963
2020DWOR01,early,1027,0.5752045631997184,0.9944486181096596,0.42430210282892716,0.7009723186215019,0.026920520649888587
2020DWOR01,late,1028,0.5266226224495272,0.9935699757070866,0.4772488081874913,0.6313987082603959,-0.021679714007640807
